mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
random,Things You Need on a Road Trip,100,10000,24.49,33.93,35.99,39.07,40,Things You Need on a Road Trip Candidate 001 | Things You Need on a Road Trip Candidate 002 | Things You Need on a Road Trip Candidate 003 | Things You Need on a Road Trip Candidate 004
random,Things That Make a Hotel Great,100,10000,24.57,34.32,36.12,39.48,40,Things That Make a Hotel Great Candidate 001 | Things That Make a Hotel Great Candidate 002 | Things That Make a Hotel Great Candidate 003 | Things That Make a Hotel Great Candidate 004
random,Things That Make a Beach Day Great,100,10000,24.58,34.06,35.96,39.51,40,Things That Make a Beach Day Great Candidate 001 | Things That Make a Beach Day Great Candidate 002 | Things That Make a Beach Day Great Candidate 003 | Things That Make a Beach Day Great Candidate 004
daily,Best Smells,100,10000,29.25,38.02,38.52,40,40,Best Smells Candidate 001 | Best Smells Candidate 002 | Best Smells Candidate 003 | Best Smells Candidate 004
daily,Worst Sounds,100,10000,29.23,36.97,38.46,40,40,Worst Sounds Candidate 001 | Worst Sounds Candidate 002 | Worst Sounds Candidate 003 | Worst Sounds Candidate 004
daily,Things Dads Say,100,10000,29.07,37.36,40,40,40,Things Dads Say Candidate 001 | Things Dads Say Candidate 002 | Things Dads Say Candidate 003 | Things Dads Say Candidate 004
daily,Things That Make You Feel Rich,100,10000,28.86,37.13,40,40,40,Things That Make You Feel Rich Candidate 001 | Things That Make You Feel Rich Candidate 002 | Things That Make You Feel Rich Candidate 003 | Things That Make You Feel Rich Candidate 004
daily,Worst Places to Get Stuck,100,10000,29.28,36.7,40,40,40,Worst Places to Get Stuck Candidate 001 | Worst Places to Get Stuck Candidate 002 | Worst Places to Get Stuck Candidate 003 | Worst Places to Get Stuck Candidate 004
daily,Things to Bring to a Desert Island,100,10000,29.5,37.72,38.53,40,40,Things to Bring to a Desert Island Candidate 001 | Things to Bring to a Desert Island Candidate 002 | Things to Bring to a Desert Island Candidate 003 | Things to Bring to a Desert Island Candidate 004
daily,Animals You'd Want on Your Side in a Fight,100,10000,28.81,37.52,38.57,40,40,Animals You'd Want on Your Side in a Fight Candidate 001 | Animals You'd Want on Your Side in a Fight Candidate 002 | Animals You'd Want on Your Side in a Fight Candidate 003 | Animals You'd Want on Your Side in a Fight Candidate 004
